Player,2018/19,,,,,
TJ Leaf ,"$2,407,560 ","$2,813,280 ","$4,326,825 ","$6,139,764 ",$0 ,$0 
Georgios Papagiannis ,"$2,400,480 ",$0 ,$0 ,$0 ,$0 ,$0 
Vince Carter ,"$2,393,887 ",$0 ,$0 ,$0 ,$0 ,$0 
Channing Frye ,"$2,393,887 ",$0 ,$0 ,$0 ,$0 ,$0 
Devin Harris ,"$2,393,887 ",$0 ,$0 ,$0 ,$0 ,$0 
Jose Calderon ,"$2,393,887 ",$0 ,$0 ,$0 ,$0 ,$0 
Zaza Pachulia ,"$2,393,887 ",$0 ,$0 ,$0 ,$0 ,$0 
JaVale McGee ,"$2,393,887 ",$0 ,$0 ,$0 ,$0 ,$0 
Udonis Haslem ,"$2,393,887 ",$0 ,$0 ,$0 ,$0 ,$0 
Dwyane Wade ,"$2,393,887 ",$0 ,$0 ,$0 ,$0 ,$0 
Raymond Felton ,"$2,393,887 ",$0 ,$0 ,$0 ,$0 ,$0 
Amir Johnson ,"$2,393,887 ",$0 ,$0 ,$0 ,$0 ,$0 
Jeff Green ,"$2,393,887 ",$0 ,$0 ,$0 ,$0 ,$0 
Lonnie Walker ,"$2,360,160 ","$2,764,200 ","$2,895,720 ","$4,453,617 ","$6,319,683 ",$0 
John Collins ,"$2,299,080 ","$2,686,560 ","$4,137,302 ","$5,899,793 ",$0 ,$0 
Denzel Valentine ,"$2,280,600 ","$3,377,568 ","$4,698,197 ",$0 ,$0 ,$0 
Larry Nance Jr ,"$2,272,390 ","$12,727,273 ","$11,709,091 ","$10,690,909 ",$0 ,$0 
Kevin Huerter ,"$2,250,960 ","$2,636,280 ","$2,761,920 ","$4,253,357 ","$6,065,287 ",$0 
Monta Ellis ,"$2,245,400 ","$2,245,400 ","$2,245,400 ","$2,245,400 ",$0 ,$0 
Harry Giles ,"$2,207,040 ","$2,578,800 ","$3,976,510 ","$5,698,338 ",$0 ,$0 
Darius Miller ,"$2,205,000 ",$0 ,$0 ,$0 ,$0 ,$0 
Henry Ellenson ,"$2,199,311 ","$1,645,357 ",$0 ,$0 ,$0 ,$0 
Omri Casspi ,"$2,176,260 ",$0 ,$0 ,$0 ,$0 ,$0 
Derrick Rose ,"$2,176,260 ",$0 ,$0 ,$0 ,$0 ,$0 
Juan Hernangomez ,"$2,166,360 ","$3,321,029 ","$4,642,799 ",$0 ,$0 ,$0 
Greg Monroe ,"$2,165,481 ",$0 ,$0 ,$0 ,$0 ,$0 
Jonas Jerebko ,"$2,165,481 ",$0 ,$0 ,$0 ,$0 ,$0 
Quincy Pondexter ,"$2,165,481 ",$0 ,$0 ,$0 ,$0 ,$0 
Josh Okogie ,"$2,163,600 ","$2,533,920 ","$2,654,520 ","$4,093,269 ","$5,865,655 ",$0 
Nik Stauskas ,"$2,161,886 ",$0 ,$0 ,$0 ,$0 ,$0 
Terrance Ferguson ,"$2,118,840 ","$2,475,840 ","$3,944,013 ","$5,683,323 ",$0 ,$0 
Raul Neto ,"$2,100,000 ","$2,100,000 ",$0 ,$0 ,$0 ,$0 
Salah Mejri ,"$2,098,196 ",$0 ,$0 ,$0 ,$0 ,$0 
Grayson Allen ,"$2,076,960 ","$2,432,520 ","$2,548,440 ","$4,059,664 ","$5,849,977 ",$0 
Jarrett Allen ,"$2,034,120 ","$2,376,840 ","$3,909,902 ","$5,661,538 ",$0 ,$0 
Isaiah Thomas ,"$2,029,463 ",$0 ,$0 ,$0 ,$0 ,$0 
Spencer Hawes ,"$2,007,058 ","$2,007,058 ",$0 ,$0 ,$0 ,$0 
Torrey Craig ,"$2,000,000 ","$2,000,000 ",$0 ,$0 ,$0 ,$0 
Cole Aldrich ,"$2,000,000 ",$0 ,$0 ,$0 ,$0 ,$0 
Chandler Hutchison ,"$1,991,520 ","$2,332,320 ","$2,443,440 ","$4,019,459 ","$5,820,176 ",$0 
Ante Zizic ,"$1,952,760 ","$2,281,800 ","$3,872,214 ","$5,634,072 ",$0 ,$0 
OG Anunoby ,"$1,952,760 ","$2,281,800 ","$3,872,215 ","$5,634,072 ",$0 ,$0 
Shabazz Napier ,"$1,942,422 ","$1,845,301 ",$0 ,$0 ,$0 ,$0 
Aaron Holiday ,"$1,914,480 ","$2,241,960 ","$2,348,880 ","$3,986,049 ","$5,799,701 ",$0 
Timothe Luwawu ,"$1,880,268 ",$0 ,$0 ,$0 ,$0 ,$0 
Tyler Lydon ,"$1,874,640 ",$0 ,$0 ,$0 ,$0 ,$0 
Anfernee Simons ,"$1,837,800 ","$2,152,440 ","$2,254,920 ","$3,943,855 ","$5,765,916 ",$0 
