PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P_pct,FTM,FTA,FT_pct,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,Change
Trae Young,ATL,20,75,27,48,30.8,18.9,6.4,15.3,41.9,2,5.9,33.7,4.1,5.1,82.1,0.7,2.8,3.6,7.9,3.9,0.8,0.2,1.7,34.2,27,1,-4
Victor Oladipo,IND,26,36,25,11,31.9,18.8,6.9,16.3,42.3,2.1,6,34.3,2.9,3.9,73,0.6,5,5.6,5.2,2.3,1.7,0.3,2,36.9,5,0,3.5
Lauri Markkanen,CHI,21,52,16,36,32.3,18.7,6.6,15.3,43,2.3,6.4,36.1,3.3,3.8,87.2,1.4,7.6,9,1.4,1.6,0.7,0.6,2.3,34.1,20,0,-3.8
Kyle Kuzma,LAL,23,69,32,37,33.1,18.7,7.1,15.5,45.5,1.8,6,30.4,2.7,3.6,75.2,0.9,4.6,5.5,2.6,1.9,0.6,0.4,2.4,30.1,4,0,-1
Brandon Ingram,LAL,21,52,25,27,33.9,18.3,7,14,49.7,0.6,1.8,33,3.8,5.6,67.5,0.8,4.3,5.1,3,2.5,0.5,0.6,2.9,29.8,2,0,-1.1
Jamal Murray,DEN,22,68,45,23,32.8,18.2,6.8,15.7,43.4,2,5.5,36.6,2.5,2.9,85,0.9,3.3,4.2,4.8,2.2,0.9,0.4,2.1,31.7,3,0,3.5
Khris Middleton,MIL,27,73,54,19,31.5,18.1,6.5,14.8,43.8,2.3,6.1,37.9,2.8,3.3,83.6,0.7,5.5,6.1,4.3,2.2,1,0.1,2.3,33,7,0,7.2
Tim Hardaway Jr.,DAL,27,65,14,51,31.6,18.1,6,15.3,39.3,2.5,7.3,34,3.6,4.2,84.1,0.5,2.9,3.4,2.4,1.6,0.8,0.1,2.2,27.1,2,0,-6.2
Bojan Bogdanovic,IND,29,75,45,30,31.8,18,6.5,12.9,49.9,2.1,4.8,42.9,3,3.8,80.9,0.4,3.7,4.1,1.9,1.6,0.8,0,1.7,26.7,0,0,2.2
Derrick Rose,MIN,30,51,24,27,27.3,18,7.1,14.8,48.2,1.1,2.9,37,2.7,3.1,85.6,0.6,2.1,2.7,4.3,1.6,0.6,0.2,1.1,28.7,1,0,0.7
T.J. Warren,PHX,25,43,10,33,31.6,18,6.9,14.2,48.6,1.8,4.2,42.8,2.3,2.9,81.5,0.7,3.3,4,1.5,1.2,1.2,0.7,2.8,29.4,0,0,-5.2
