Player,2016/17,,,
Maurice Ndour ,"$568,209 ",$0 ,$0 ,$0 
Marshall Plumlee ,"$568,209 ",$0 ,$0 ,$0 
Ron Baker ,"$568,209 ",$0 ,$0 ,$0 
Cheick Diallo ,"$568,209 ",$0 ,$0 ,$0 
Rodney McGruder ,"$568,209 ",$0 ,$0 ,$0 
Diamond Stone ,"$568,209 ",$0 ,$0 ,$0 
Chinanu Onuaku ,"$568,209 ",$0 ,$0 ,$0 
Kyle Wiltjer ,"$568,209 ",$0 ,$0 ,$0 
Patrick McCaw ,"$568,209 ",$0 ,$0 ,$0 
Dorian Finney-Smith ,"$568,209 ",$0 ,$0 ,$0 
Nicolas Brussino ,"$568,209 ",$0 ,$0 ,$0 
